timestamp,Keypad4,Keypad3,Keypad2,Keypad1,Opto4,Opto3,Opto2,Opto1,TTLin2,TTLin1,Mic2,Mic1,ActClose4,ActClose3,ActClose2,ActClose1,TTLout2,TTLout1,Sounder2,Sounder1
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
610.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
612.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1052.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1054.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1055.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1893.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1893.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1895.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1895.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1896.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1897.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2637.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2638.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2639.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2639.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2640.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2640.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2642.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2642.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2643.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3392.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3392.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3393.250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3393.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3394.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3395.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3395.250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3395.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3396.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3895.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3895.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3896.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3896.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3897.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4584.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4584.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4585.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4585.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4586.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4586.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4586.750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5069.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5070.500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
